code,v2,label,visited,payoff,v6,v7,liberal,comment,condition,cause,age,gender,race,volunteer,donated,politics,ceostanceopinion,ceocsropinion,trolley,risk1,risk2,risk3,risk4,risk5,amb1,amb2,amb3,amb4,amb5,amb6,amb7,fair1,fair2,fair3,fair4,fair5,fair6,fair7,fair8,fair9,fair10,risk,amb,fair,match,round_earnings_1,round_earnings_2,round_earnings_3,round_earnings_4,round_earnings_5,round_earnings_6,round_earnings_7,round_earnings_8,round_earnings_9,round_earnings_10,round_earnings_str_1,round_earnings_str_2,round_earnings_str_3,round_earnings_str_4,round_earnings_str_5,round_earnings_str_6,round_earnings_str_7,round_earnings_str_8,round_earnings_str_9,round_earnings_str_10,pre_decision_earnings_1,pre_decision_earnings_2,pre_decision_earnings_3,pre_decision_earnings_4,pre_decision_earnings_5,pre_decision_earnings_6,pre_decision_earnings_7,pre_decision_earnings_8,pre_decision_earnings_9,pre_decision_earnings_10,round_donation_str_1,round_donation_str_2,round_donation_str_3,round_donation_str_4,round_donation_str_5,round_donation_str_6,round_donation_str_7,round_donation_str_8,round_donation_str_9,round_donation_str_10,social_action_1,social_action_2,social_action_3,social_action_4,social_action_5,social_action_6,social_action_7,social_action_8,social_action_9,social_action_10,social_action_b_1,social_action_b_2,social_action_b_3,social_action_b_4,social_action_b_5,social_action_b_6,social_action_b_7,social_action_b_8,social_action_b_9,social_action_b_10,board_block_1,board_block_2,board_block_3,board_block_4,board_block_5,board_block_6,board_block_7,board_block_8,board_block_9,board_block_10,donation_1,donation_2,donation_3,donation_4,donation_5,donation_6,donation_7,donation_8,donation_9,donation_10,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9,type_10,cotton_1,cotton_2,cotton_3,cotton_4,cotton_5,cotton_6,cotton_7,cotton_8,cotton_9,cotton_10,price_1,price_2,price_3,price_4,price_5,price_6,price_7,price_8,price_9,price_10,type_b_1,type_b_2,type_b_3,type_b_4,type_b_5,type_b_6,type_b_7,type_b_8,type_b_9,type_b_10,cotton_b_1,cotton_b_2,cotton_b_3,cotton_b_4,cotton_b_5,cotton_b_6,cotton_b_7,cotton_b_8,cotton_b_9,cotton_b_10,price_b_1,price_b_2,price_b_3,price_b_4,price_b_5,price_b_6,price_b_7,price_b_8,price_b_9,price_b_10,round_earnings_n_1,round_earnings_n_2,round_earnings_n_3,round_earnings_n_4,round_earnings_n_5,round_earnings_n_6,round_earnings_n_7,round_earnings_n_8,round_earnings_n_9,round_earnings_n_10,type_n_1,type_n_2,type_n_3,type_n_4,type_n_5,type_n_6,type_n_7,type_n_8,type_n_9,type_n_10,cotton_n_1,cotton_n_2,cotton_n_3,cotton_n_4,cotton_n_5,cotton_n_6,cotton_n_7,cotton_n_8,cotton_n_9,cotton_n_10,price_n_1,price_n_2,price_n_3,price_n_4,price_n_5,price_n_6,price_n_7,price_n_8,price_n_9,price_n_10,social_action_n_1,social_action_n_2,social_action_n_3,social_action_n_4,social_action_n_5,social_action_n_6,social_action_n_7,social_action_n_8,social_action_n_9,social_action_n_10,board_block_n_1,board_block_n_2,board_block_n_3,board_block_n_4,board_block_n_5,board_block_n_6,board_block_n_7,board_block_n_8,board_block_n_9,board_block_n_10,donate_num,donate_num_1h,donate_num_2h,black,eastasian,hispanic,multiracial,other,southasian,white,asian,other_race,female,male,nonbinary,unkgender,mismatch,control,match_,earnings,earnings_1h,earnings_2h,donate_pct,donate_pct_1h,donate_pct_2h
1th18eeg,49m28d93,,1,3.6099999,1th18eeg,49m28d93,1,,Baseline,The American Red Cross,29,0,East Asian,1,1,5,4,3,1,0,0,0,1,1,0,0,0,1,1,1,1,0,2,-3,-2,-2,-2,0,3,0,-2,2,4,-.60000002,2,3,3,3.0599999,2.99,3.05,2.5599999,.44999999,2.8900001,2.99,4.0500002,3,3,3.0599999,2.99,3.05,2.5599999,.44999999,2.8900001,2.99,4.0500002,,,,,,,,,,,0,0,0,0,0,.28999999,.050000001,0,0,.44999999,0,0,0,0,0,1,1,0,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.14,0,0,0,.14,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Sweater Vest,Turtleneck,Cardigan,80,80,90,95,90,50,40,70,90,40,49,49,53,55,54,100,70,50,50,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,3.0599999,2.99,3.05,2.5599999,.44999999,2.8900001,2.99,4.0500002,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Cardigan,80,80,90,95,90,50,40,70,90,40,49,49,53,55,54,100,70,50,50,99,No Action,No Action,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,No Action,No Action,Donate 10% of Period Earnings,,,,,,,,,,,3,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,28.040001,15.099999,12.940001,.30000001,0,.30000001
jt6x3h9x,49m28d93,,1,3.7,jt6x3h9x,49m28d93,1,,Baseline,the National Rifle Association (NRA),27,0,Multi-racial,1,1,5,5,5,0,0,0,0,0,1,0,0,0,0,1,1,1,-4,-4,-5,-5,-5,-3,3,-5,0,-3,1,3,-3.0999999,0,3,3,3,3,3,3,2.4000001,3,3,3,3,3,3,3,3,3,2.4000001,3,3,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,80,80,80,80,80,80,80,80,80,80,49,49,49,49,49,49,99,49,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,Sweater Vest,,,,,,,,,,80,,,,,,,,,,49,,,,,,,,,,No Action,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,29.4,15,14.4,0,0,0
8zqhv9kh,49m28d93,,1,.66000003,8zqhv9kh,49m28d93,1,,Baseline,Everytown for Gun Safety,31,1,White,1,1,5,5,5,1,0,0,1,1,1,0,0,0,0,1,1,1,3,-3,-2,2,3,3,1,-1,4,-3,3,3,.69999999,1,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,,,,,,,,,,,.050000001,.050000001,.050000001,.050000001,.050000001,.050000001,.050000001,.050000001,.050000001,.050000001,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.029999999,0,0,0,.059999999,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,75,75,75,75,75,55,55,55,49,55,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,.44999999,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,75,75,75,75,75,55,55,55,49,55,99,99,99,99,99,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,10,5,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,4.5,2.25,2.25,1,.5,.5
xml6l4do,49m28d93,,1,2.8,xml6l4do,49m28d93,1,,Baseline,The American Red Cross,32,0,White,1,0,5,4,5,1,0,0,0,0,0,0,0,0,0,1,1,1,-5,-5,0,5,-5,-5,-5,-5,0,-5,0,3,-3,2,2.79,2.6900001,3,.44999999,2.8399999,2,2.0999999,4.0500002,4.0500002,4.0500002,2.79,2.6900001,3,.44999999,2.8399999,2,2.0999999,4.0500002,4.0500002,4.0500002,,,,,,,,,,,0,0,0,.050000001,0,0,0,.44999999,.44999999,.44999999,0,0,0,1,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Cardigan,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,40,50,40,40,40,60,70,49,49,55,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweater Vest,Cardigan,Sweater Vest,Turtleneck,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,70,80,80,80,80,40,50,40,40,40,60,65,55,60,59,99,100,99,99,99,No Action,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,4,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,28.019997,11.77,16.25,.40000001,.1,.30000001
19v5407u,49m28d93,,1,3.21,19v5407u,49m28d93,1,,Baseline,the National Rifle Association (NRA),20,1,Hispanic,1,1,5,5,5,1,0,0,1,1,1,0,0,1,1,1,1,,-4,-5,-5,-5,-3,-4,-5,-5,4,-3,3,,-3.5,0,2.4000001,2.3499999,2.45,2.6500001,2.7,1.95,2.05,2.1500001,2.3499999,2.45,2.4000001,2.3499999,2.45,2.6500001,2.7,1.95,2.05,2.1500001,2.3499999,2.45,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,20,15,25,45,55,40,45,55,75,85,49,49,49,49,54,104,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4000001,2.4000001,2.45,2.6500001,2.7,1.95,2.05,2.1500001,2.3499999,2.45,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,20,15,25,45,55,40,45,55,75,85,49,49,49,49,54,104,99,99,99,99,,,No Action,,No Action,,,,,,,,,,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,23.5,12.55,10.95,0,0,0
ihrq0lzr,49m28d93,,1,2.23,ihrq0lzr,49m28d93,1,,Baseline,Everytown for Gun Safety,39,0,White,1,1,4,4,5,1,1,1,1,1,1,0,0,0,1,1,1,1,-2,-5,5,2,-2,-3,-1,-3,0,-3,5,4,-1.2,1,.44999999,.44999999,.44999999,.44999999,2.3399999,2.79,.44999999,3.5999999,3.0599999,4.0500002,.44999999,.44999999,.44999999,.44999999,2.3399999,2.79,.44999999,3.5999999,3.0599999,4.0500002,,,,,,,,,,,.050000001,.050000001,.050000001,.050000001,.25999999,.31,.050000001,.40000001,.34,.44999999,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.16,0,0,0,.19,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Turtleneck,Cardigan,Turtleneck,Turtleneck,Turtleneck,80,75,70,75,80,75,80,70,70,65,49,45,39,45,45,45,99,49,55,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,.44999999,.44999999,2.3399999,2.79,.44999999,3.5999999,3.0599999,4.0500002,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Turtleneck,Turtleneck,Turtleneck,Turtleneck,Turtleneck,80,75,70,75,80,75,80,70,70,65,49,45,39,45,45,45,99,49,55,49,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,10,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,18.09,4.1399999,13.95,1,.5,.5
mhvpuyee,49m28d93,,1,1.78,mhvpuyee,49m28d93,1,,Baseline,The American Red Cross,46,0,White,1,0,4,4,3,0,0,0,0,0,1,0,0,0,0,1,1,1,-2,-2,-3,-5,-4,-5,4,-4,-4,-4,1,3,-2.9000001,2,.44999999,.44999999,.44999999,.44999999,.44999999,2.7,.44999999,4.0500002,4.0500002,4.0500002,.44999999,.44999999,.44999999,.44999999,.44999999,2.7,.44999999,4.0500002,4.0500002,4.0500002,,,,,,,,,,,.050000001,.050000001,.050000001,.050000001,.050000001,.30000001,.050000001,.44999999,.44999999,.44999999,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.15000001,0,0,0,.18000001,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,75,50,70,40,40,40,49,55,59,69,69,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,17.549999,2.25,15.3,1,.5,.5
oznm0fvv,49m28d93,,1,3.1700001,oznm0fvv,49m28d93,1,,Baseline,the National Rifle Association (NRA),50,0,Black,0,0,5,4,4,0,0,,,,,0,0,0,1,1,1,1,-5,0,-5,5,0,-2,-2,-4,-3,-5,,4,-2.0999999,0,3,2.9000001,2.8399999,3,3,3,2,3,3,3,3,2.9000001,2.8399999,3,3,3,2,3,3,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Cardigan,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,80,80,80,80,80,80,40,80,80,80,49,49,55,49,49,49,99,49,49,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.9000001,2.8399999,3,3,3,2,,,,Sweater Vest,Cardigan,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,,,,80,80,80,80,80,80,40,,,,49,49,55,49,49,49,99,,,,No Action,No Action,No Action,No Action,No Action,No Action,No Action,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,28.74,14.74,14,0,0,0
m7uy8l8k,49m28d93,,1,3.74,m7uy8l8k,49m28d93,1,,Baseline,Everytown for Gun Safety,33,0,Hispanic,0,1,5,4,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,-1,0,2,2,-3,1,-1,-1,-2,1,3,-.2,1,.44999999,2.8900001,2.6400001,2.74,2.49,4.0500002,2.04,2.3900001,.44999999,4.0500002,.44999999,2.8900001,2.6400001,2.74,2.49,4.0500002,2.04,2.3900001,.44999999,4.0500002,,,,,,,,,,,.050000001,0,0,0,0,.44999999,0,0,.050000001,.44999999,1,0,0,0,0,1,0,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.22,0,0,0,.22,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Cardigan,Cardigan,Turtleneck,Sweater Vest,Cardigan,80,50,20,50,30,40,40,30,45,40,49,30,25,35,40,99,95,50,40,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,2.8900001,2.6400001,2.74,2.49,4.0500002,2.04,2.3900001,.44999999,4.0500002,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Turtleneck,Cardigan,Cardigan,Turtleneck,Sweater Vest,Cardigan,80,50,20,50,30,40,40,30,45,40,49,30,25,35,40,99,95,50,40,99,Donate 10% of Period Earnings,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,4,1,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,24.189999,11.21,12.98,.40000001,.1,.30000001
yaf4odp6,49m28d93,,1,2.3299999,yaf4odp6,49m28d93,1,,Baseline,The American Red Cross,23,0,Multi-racial,0,0,5,1,5,1,1,1,1,1,1,0,0,0,0,0,0,0,-5,-5,-4,-3,-5,-5,-4,-5,-5,-5,5,0,-4.5999999,2,.44999999,3,3,3,3,.44999999,4.0500002,3.3699999,4.3200002,4.73,.44999999,3,3,3,3,.44999999,4.0500002,3.3699999,4.3200002,4.73,,,,,,,,,,,.050000001,0,0,0,0,.050000001,.44999999,.38,.47999999,.51999998,1,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.029999999,0,0,0,.029999999,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,80,40,45,38,35,49,49,49,49,49,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,3,3,3,3,.44999999,4.0500002,3.3699999,4.3200002,4.73,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,80,80,40,45,38,35,49,49,49,49,49,99,99,99,99,99,Donate 10% of Period Earnings,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,6,1,5,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,29.369999,12.45,16.92,.60000002,.1,.5
t06jq98n,49m28d93,,1,3.3099999,t06jq98n,49m28d93,1,,Baseline,the National Rifle Association (NRA),64,0,White,0,1,5,0,5,1,0,0,1,0,1,0,0,0,1,1,1,1,-3,0,0,0,-3,-3,-2,-5,0,-2,2,4,-1.8,0,3,3.04,2.72,3.04,3.04,2.49,3.04,3.04,2.6900001,3.04,3,3.04,2.72,3.04,3.04,2.49,3.04,3.04,2.6900001,3.04,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Turtleneck,Sweater Vest,80,85,55,85,87,85,85,90,85,85,49,50,52,50,52,95,50,55,75,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.04,2.72,3.04,3.04,2.49,3.04,3.04,2.6900001,3.04,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Turtleneck,Sweater Vest,80,85,55,85,87,85,85,90,85,85,49,50,52,50,52,95,50,55,75,50,No Action,No Action,No Action,No Action,No Action,No Action,No Action,No Action,No Action,No Action,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,29.139999,14.84,14.3,0,0,0
2prr8bfl,49m28d93,,1,3.6700001,2prr8bfl,49m28d93,1,,Baseline,Everytown for Gun Safety,66,0,White,1,0,5,5,5,0,0,0,0,0,1,0,0,0,0,1,1,1,-2,-5,0,0,-4,-5,0,-4,2,-3,1,3,-2.0999999,1,3,2.9000001,2.9000001,.44999999,3,4.0500002,.44999999,2.0999999,4.73,5.4000001,3,2.9000001,2.9000001,.44999999,3,4.0500002,.44999999,2.0999999,4.73,5.4000001,,,,,,,,,,,0,0,0,.050000001,0,.44999999,.050000001,0,.51999998,.60000002,0,0,0,1,0,1,1,0,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.22,0,0,0,.22,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,100,40,80,50,35,30,49,49,49,59,49,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.9000001,2.9000001,.44999999,3,4.0500002,.44999999,2.0999999,4.73,5.4000001,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Sweater Vest,Cardigan,,Cardigan,Cardigan,Cardigan,80,80,80,80,100,40,80,50,35,30,49,49,49,59,49,99,99,99,99,99,No Action,No Action,No Action,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,5,1,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,28.98,12.25,16.73,.5,.1,.40000001
k6p6gssu,49m28d93,,1,3.2,k6p6gssu,49m28d93,1,,Baseline,The American Red Cross,21,0,East Asian,1,1,4,4,1,1,0,0,1,1,1,0,0,0,1,1,1,0,-2,-3,-2,0,-2,-3,-1,-2,-2,-3,3,3,-2,2,3,2.7,2.5,2.9400001,2.5899999,1.9,4.0500002,.44999999,2.05,1.35,3,2.7,2.5,2.9400001,2.5899999,1.9,4.0500002,.44999999,2.05,1.35,,,,,,,,,,,0,0,0,0,0,0,.44999999,.050000001,0,.15000001,0,0,0,0,0,0,1,1,0,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Cardigan,Cardigan,Turtleneck,Cardigan,Cardigan,80,80,50,75,80,30,40,40,45,50,49,69,59,50,80,99,99,99,99,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.7,2.5,2.9400001,2.5899999,1.9,4.0500002,.44999999,2.05,1.35,Sweater Vest,Cardigan,Turtleneck,Sweater Vest,Cardigan,Cardigan,Cardigan,Turtleneck,Cardigan,Cardigan,80,80,50,75,80,30,40,40,45,50,49,69,59,50,80,99,99,99,99,109,No Action,No Action,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,,,,,,,,,,,3,0,3,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,23.530001,13.73,9.8000002,.30000001,0,.30000001
8yh0wchn,49m28d93,,1,2.3800001,8yh0wchn,49m28d93,1,,Baseline,Everytown for Gun Safety,20,0,White,1,1,4,4,4,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,-2,5,0,-1,0,3,0,1,2,3,.60000002,1,.44999999,.44999999,.44999999,.44999999,3,2.7,3.3699999,4.0500002,4.73,5.4000001,.44999999,.44999999,.44999999,.44999999,3,2.7,3.3699999,4.0500002,4.73,5.4000001,,,,,,,,,,,.050000001,.050000001,.050000001,.050000001,0,.30000001,.38,.44999999,.51999998,.60000002,1,1,1,1,0,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,.029999999,0,0,.15000001,0,0,0,.18000001,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,85,80,85,90,80,50,45,40,35,30,55,55,55,60,49,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,.44999999,.44999999,.44999999,3,2.7,3.3699999,4.0500002,4.73,5.4000001,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,85,80,85,90,80,50,45,40,35,30,55,55,55,60,49,99,99,99,99,99,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,9,4,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,25.049999,4.8000002,20.25,.89999998,.40000001,.5
d0uch7gb,49m28d93,,1,3.97,d0uch7gb,49m28d93,1,,Baseline,The American Red Cross,30,0,White,0,1,4,4,5,0,0,0,0,0,1,0,0,0,1,1,1,1,3,2,-2,3,3,0,2,0,1,-2,1,4,1,2,.44999999,.44999999,3,3,.44999999,4.0500002,4.0500002,4.0500002,4.0500002,4.0500002,.44999999,.44999999,3,3,.44999999,4.0500002,4.0500002,4.0500002,4.0500002,4.0500002,,,,,,,,,,,.050000001,.050000001,0,0,.050000001,.44999999,.44999999,.44999999,.44999999,.44999999,1,1,0,0,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.22,0,0,0,.22,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,75,40,40,40,40,40,49,55,49,49,45,99,99,99,99,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.44999999,45,3,3,,4.0500002,4.0500002,4.0500002,4.0500002,4.0500002,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,,Cardigan,Cardigan,Cardigan,Cardigan,Cardigan,80,80,80,80,,40,40,40,40,40,49,49,49,49,,99,99,99,99,99,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,No Action,,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,Donate 10% of Period Earnings,,,,,,,,,,,8,3,5,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,27.599998,7.3499999,20.25,.80000001,.30000001,.5
8mithkb7,49m28d93,,1,2.27,8mithkb7,49m28d93,1,,Baseline,the National Rifle Association (NRA),39,0,White,0,0,5,1,5,0,0,0,0,0,1,0,0,0,0,0,1,1,5,5,5,5,5,4,5,4,5,1,1,2,4.4000001,0,3.04,3.0899999,2.8900001,2.9400001,3.1400001,.44999999,.44999999,2.99,3.24,3.21,3.04,3.0899999,2.8900001,2.9400001,3.1400001,.44999999,.44999999,2.99,3.24,3.21,,,,,,,,,,,0,0,0,0,0,.050000001,.050000001,0,0,0,0,0,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,.029999999,0,0,0,.029999999,Sweater Vest,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Cardigan,Sweater Vest,Sweater Vest,Sweater Vest,Sweater Vest,80,75,70,80,85,55,80,85,90,95,45,35,40,45,40,85,55,55,35,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0899999,2.8900001,2.9400001,3.1400001,.44999999,.44999999,2.99,3.24,3.21,Cardigan,Sweater Vest,Turtleneck,Cardigan,Sweater Vest,Cardigan,Sweater Vest,,Sweater Vest,Sweater Vest,,75,70,80,85,55,80,85,90,95,,35,40,45,40,85,55,55,35,33,No Action,No Action,No Action,No Action,No Action,Donate 10% of Period Earnings,Donate 10% of Period Earnings,No Action,No Action,No Action,,,,,,,,,,,2,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,25.440002,15.100001,10.34,.2,0,.2
