participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.prolific_id,player.start_time,player.end_time,player.round_earnings,player.round_earnings_str,player.condition,player.survey_key,player.cause,player.consent,player.confirm_cause_nra,player.confirm_cause_etfgs,player.confirm_cause_rc,player.confirm_money,player.donation,player.donation_sum,player.round_donation_str,player.donation_str,player.payoff_a,player.payoff_a_str,player.payoff_b,player.payoff_b_str,player.paying_round_a,player.paying_round_b,player.rand_num,player.social_action_count,player.type,player.cotton,player.price,player.social_action,player.type1,player.cotton1,player.price1,player.social_action1,player.t_match1,player.t_match2,player.t_match3,player.d_match1,player.d_match2,player.d_match3,player.match1,player.match2,player.match3,player.round_earnings_n,player.type_n,player.cotton_n,player.price_n,player.social_action_n,player.board_block_n,player.type_b,player.cotton_b,player.price_b,player.social_action_b,player.board_block,player.board_penalty,player.pre_decision_earnings,player.attention_check,player.free_response_1,player.free_response_2,player.free_response_3,player.free_response_4,player.free_response_b1,player.free_response_b2,player.free_response_r1,player.free_response_r2,player.age,player.gender,player.race,player.volunteer,player.donated,player.politics,player.stance_opinion,player.csr_opinion,player.trolley,player.risk1,player.risk2,player.risk3,player.risk4,player.risk5,player.amb1,player.amb2,player.amb3,player.amb4,player.amb5,player.amb6,player.amb7,player.fair1,player.fair2,player.fair3_r,player.fair4_r,player.fair5,player.fair6_r,player.fair7,player.fair8_r,player.fair9,player.fair10,player.risk_payoff,player.risk_payoff_str,player.amb_payoff,player.amb_payoff_str,player.open_comments,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
90,y6xk8ucc,,0,281,280,spi_strategies,FinalPayment,10.69.19.99,2020-07-07 18:04:07.949583+00:00,1,,,2.10,90,,,,2.84,2.84,,,,,,,,,0.0,,0.00,,,,1.42,1.42,,,,,Cardigan,80,55,No Action,Sweater Vest,80,49,No Action,0,0,1,1,0,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1,9,27zo8zel,,,,,,0
91,q47knosl,,0,280,280,spi_strategies,FinalPayment,10.9.213.124,2020-07-07 18:04:10.538820+00:00,1,,,3.10,91,,,,2.84,2.84,,,,,,,,,0.0,,0.00,,,,1.42,1.42,,,,,Cardigan,70,45,No Action,Sweater Vest,80,49,No Action,0,0,1,1,0,,0,1,0,2.84,Cardigan,70,45,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,1,9,27zo8zel,,,,,,0
92,ent7b4ke,,0,281,280,spi_strategies,FinalPayment,10.63.123.248,2020-07-07 18:04:16.607290+00:00,1,,,3.25,92,,,,4.05,4.05,,,,,,,,,0.22,,0.45,,,,2.02,2.02,,,,,Cardigan,40,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,4.05,Cardigan,40,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1,9,27zo8zel,,,,,,0
93,wzrzgzm1,,0,281,280,spi_strategies,FinalPayment,10.93.223.38,2020-07-07 18:04:18.757780+00:00,1,,,1.73,93,,,,2.5,2.50,,,,,,,,,0.0,,0.00,,,,1.25,1.25,,,,,Cardigan,70,79,No Action,Sweater Vest,80,49,No Action,0,0,1,1,0,,0,1,0,2.50,Cardigan,70,79,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1,9,27zo8zel,,,,,,0
94,0dfurp8d,,0,280,280,spi_strategies,FinalPayment,10.183.68.6,2020-07-07 18:04:24.492523+00:00,1,,,4.00,94,,,,2.99,2.99,,,,,,,,,0.0,,0.00,,,,1.5,1.50,,,,,Sweater Vest,89,59,No Action,Sweater Vest,80,49,No Action,1,0,0,1,0,,1,1,0,2.99,Sweater Vest,89,59,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.50,1,9,27zo8zel,,,,,,0
95,xkpc4gr5,,0,280,280,spi_strategies,FinalPayment,10.102.191.252,2020-07-07 18:04:37.607591+00:00,1,,,3.73,95,,,,6.609999999999999,6.61,,,,,,,,,0.37,,0.74,,,,3.3,3.30,,,,,Cardigan,0,100,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,6.61,Cardigan,0,100,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.30,1,9,27zo8zel,,,,,,0
96,4hvzdlc6,,0,280,280,spi_strategies,FinalPayment,10.182.117.232,2020-07-07 18:04:50.870237+00:00,1,,,2.33,96,,,,0.45,0.45,,,,,,,,,0.03,,0.05,,,,0.23,0.23,,,,,Sweater Vest,100,100,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,1,0,0,0,1,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1,9,27zo8zel,,,,,,0
97,mtkkq5bu,,0,281,280,spi_strategies,FinalPayment,10.71.246.139,2020-07-07 18:05:20.616125+00:00,1,,,2.13,97,,,,0.45,0.45,,,,,,,,,0.03,,0.05,,,,0.23,0.23,,,,,Sweater Vest,80,49,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,1,0,0,0,1,,0,0,0,0.45,Sweater Vest,80,49,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1,9,27zo8zel,,,,,,0
98,sbz1ojrm,,0,280,280,spi_strategies,FinalPayment,10.30.214.102,2020-07-07 18:05:33.542261+00:00,1,,,3.90,98,,,,2.7,2.70,,,,,,,,,0.15,,0.30,,,,1.35,1.35,,,,,Cardigan,50,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,,Cardigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,1,9,27zo8zel,,,,,,0
99,2heken3j,,0,280,280,spi_strategies,FinalPayment,10.7.195.59,2020-07-07 18:06:01.366922+00:00,1,,,6.15,99,,,,8.1,8.10,,,,,,,,,0.45,,0.90,,,,4.05,4.05,,,,,Cardigan,10,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,8.10,Cardigan,10,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.05,1,9,27zo8zel,,,,,,0
100,ux2tn5v1,,0,280,280,spi_strategies,FinalPayment,10.11.198.97,2020-07-07 18:06:09.238692+00:00,1,,,5.54,100,,,,6.07,6.07,,,,,,,,,0.34,,0.68,,,,3.04,3.04,,,,,Cardigan,25,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,6.07,,25,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.04,1,9,27zo8zel,,,,,,0
101,ik2ghnaq,,0,280,280,spi_strategies,FinalPayment,10.11.215.82,2020-07-07 18:06:23.198251+00:00,1,,,4.32,101,,,,4.05,4.05,,,,,,,,,0.22,,0.45,,,,2.02,2.02,,,,,Cardigan,40,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1,9,27zo8zel,,,,,,0
102,71av2soh,,0,2,280,spi_strategies,Consent,10.41.153.135,2020-07-07 18:06:26.592492+00:00,1,,,0.00,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,9,27zo8zel,,,,,,0
103,tguxgubh,,0,281,280,spi_strategies,FinalPayment,10.45.38.114,2020-07-07 18:06:30.740348+00:00,1,,,3.70,103,,,,2.4,2.40,,,,,,,,,0.0,,0.00,,,,1.2,1.20,,,,,Cardigan,80,99,No Action,Sweater Vest,80,49,No Action,0,0,1,1,0,,0,1,0,2.40,Cardigan,80,99,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.20,1,9,27zo8zel,,,,,,0
104,jphjmupn,,0,281,280,spi_strategies,FinalPayment,10.16.155.42,2020-07-07 18:06:42.166081+00:00,1,,,4.12,104,,,,4.05,4.05,,,,,,,,,0.22,,0.45,,,,2.02,2.02,,,,,Cardigan,40,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,4.05,Cardigan,40,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.02,1,9,27zo8zel,,,,,,0
105,whriv7sd,,0,280,280,spi_strategies,FinalPayment,10.63.151.139,2020-07-07 18:06:42.585679+00:00,1,,,3.78,105,,,,5.4,5.40,,,,,,,,,0.3,,0.60,,,,2.7,2.70,,,,,Cardigan,30,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,5.40,Cardigan,30,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,1,9,27zo8zel,,,,,,0
106,azsv4y4k,,0,280,280,spi_strategies,FinalPayment,10.91.151.49,2020-07-07 18:07:46.137460+00:00,1,,,1.93,106,,,,0.45,0.45,,,,,,,,,0.03,,0.05,,,,0.23,0.23,,,,,Cardigan,100,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,0.45,Cardigan,100,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1,9,27zo8zel,,,,,,0
107,k116au3d,,0,280,280,spi_strategies,FinalPayment,10.63.30.156,2020-07-07 18:09:33.742367+00:00,1,,,5.28,107,,,,6.75,6.75,,,,,,,,,0.38,,0.75,,,,3.38,3.38,,,,,Cardigan,20,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,6.75,Cardigan,20,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,1,9,27zo8zel,,,,,,0
108,nvgs0e91,,0,281,280,spi_strategies,FinalPayment,10.11.254.71,2020-07-07 18:45:31.256979+00:00,1,,,2.58,108,,,,0.45,0.45,,,,,,,,,0.03,,0.05,,,,0.23,0.23,,,,,Cardigan,100,100,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,1,9,27zo8zel,,,,,,0
109,wlos6h0c,,0,280,280,spi_strategies,FinalPayment,10.63.192.219,2020-07-07 19:00:17.339993+00:00,1,,,3.09,109,,,,2.5,2.50,,,,,,,,,0.0,,0.00,,,,1.25,1.25,,,,,Cardigan,90,99,No Action,Sweater Vest,80,49,No Action,0,0,1,1,0,,0,1,0,2.50,Cardigan,90,99,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25,1,9,27zo8zel,,,,,,0
110,vw09hhil,,0,280,280,spi_strategies,FinalPayment,10.51.131.88,2020-07-07 19:00:19.128906+00:00,1,,,6.02,110,,,,7.43,7.43,,,,,,,,,0.41,,0.82,,,,3.72,3.72,,,,,Cardigan,15,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,7.43,Cardigan,15,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.72,1,9,27zo8zel,,,,,,0
111,iwa9hnhx,,0,281,280,spi_strategies,FinalPayment,10.79.206.66,2020-07-07 19:15:23.309444+00:00,1,,,4.21,111,,,,6.75,6.75,,,,,,,,,0.38,,0.75,,,,3.38,3.38,,,,,Cardigan,20,99,Donate 10% of Period Earnings,Sweater Vest,80,49,No Action,0,0,1,0,1,,1,0,0,6.75,Cardigan,20,99,Donate 10% of Period Earnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.38,1,9,27zo8zel,,,,,,0
112,pymm6wc0,,0,7,280,spi_strategies,ConfirmNRA,10.63.54.150,2020-07-07 19:20:18.559407+00:00,1,,,0.00,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweater Vest,80,49,No Action,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,1,9,27zo8zel,,,,,,0
